system:index,date,precipMax,precipMean,precipMin,.geo
20180101,2018-01-01,2.1635085344264837,2.0372843528759192,1.837083697314057,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102,2018-01-02,2.865883707897865,2.4260086089674044,2.1041512488295666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103,2018-01-03,0.0830531120250555,0.06996676898720931,0.06092488765219173,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104,2018-01-04,0.03353655336013617,0.021101215490466757,0.012704730011137144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180105,2018-01-05,0.17673851016297704,0.15068349501851294,0.12600005629792577,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180106,2018-01-06,0.011455032336016302,0.010192700443800128,0.009443375574846868,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180107,2018-01-07,0.0017225738702109084,0.0017225738702109084,0.0017225738702109084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180108,2018-01-08,1.4871189625864645,1.448285326841315,1.4205852778559347,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180109,2018-01-09,0.2863734959532849,0.2009438949046978,0.0786364077498547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180110,2018-01-10,6.577861309040145,6.04870628346221,5.447354912746505,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180111,2018-01-11,17.608898877995216,15.284386095711358,12.472692131893837,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180112,2018-01-12,2.2257447241713635,2.0355033841216277,1.806381344692909,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180113,2018-01-13,0.14397799958487667,0.10817160839447261,0.05203783501883663,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180114,2018-01-14,0.9427368640899658,0.7726267389397993,0.5892813205718994,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180115,2018-01-15,1.248645782368385,1.003049855301428,0.6820440291335217,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180116,2018-01-16,1.5201002358367077,1.228819001910518,1.0032683609892956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180117,2018-01-17,1.5097707509994507,1.193211193766369,0.8813142776489258,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180118,2018-01-18,0.02620220175231225,0.020386652303244678,0.010988116173393792,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180119,2018-01-19,0.05151741083864181,0.03780617913528263,0.0172447400927922,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180120,2018-01-20,0.6884783506393433,0.5765648064000254,0.4362165927886963,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180121,2018-01-21,1.9997656345367432,1.4240747300968737,0.9455680847167969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180122,2018-01-22,0.2124339341094128,0.15713106025814505,0.11311769475241817,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180123,2018-01-23,0.3477528145481301,0.23422642187747073,0.13776565100442895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180124,2018-01-24,0.002580881073299679,0.0024398849166202383,0.0019401311419642298,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180125,2018-01-25,8.582565556025656E-4,8.582565556025656E-4,8.582565556025656E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180126,2018-01-26,0.033468008041381836,0.018027599772072526,0.01043081283569336,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180127,2018-01-27,0.050440430641174316,0.0475362444830902,0.04152953624725342,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180128,2018-01-28,0.00584721556151635,0.004061959230945506,0.002688169388420647,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180129,2018-01-29,8.076430049186456E-4,5.609680924713445E-4,3.7550933029706357E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180130,2018-01-30,0.009996609378504218,0.0066731463979934555,0.0014284416920418153,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180131,2018-01-31,0.08444786061545528,0.06819588547237518,0.04747807969351925,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180201,2018-02-01,3.5194811639485124,2.640436101924567,1.414304715126491,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180202,2018-02-02,19.62636269632867,17.425340010498786,14.659909978547603,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180203,2018-02-03,8.719861507415771,8.327740740282904,7.983371615409851,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180204,2018-02-04,1.4800578355789185,1.3769443473983989,1.2709647417068481,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180205,2018-02-05,2.0950406000679322,1.6757525006336618,1.1878728077476808,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180206,2018-02-06,0.8859813212325207,0.8374724104359393,0.8167505263259045,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180207,2018-02-07,3.8187354803085327,3.6006549825912506,3.1224489212036133,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180208,2018-02-08,0.08534491058753702,0.0797848862554795,0.06810426708625528,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180209,2018-02-09,0.7378309965133667,0.5848138565992234,0.2649575471878052,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180210,2018-02-10,0.9744614362716675,0.8244506931805896,0.5833804607391357,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211,2018-02-11,1.4380306005428167,1.1952924090659154,0.9719669818828436,"{""type"":""MultiPoint"",""coordinates"":[]}"
