month,precipSum,tempMean
2018-01-01,36.639206893999535,9.928985904632272
2018-02-01,78.07706101176962,6.962192384991807
2018-03-01,197.93499800155493,10.030775500911313
2018-04-01,56.75977035635914,14.624315256882918
2018-05-01,176.21333616968323,16.161641361868657
2018-06-01,89.74681618405322,20.321843297144127
2018-07-01,4.460973734170919,24.758116976637407
2018-08-01,86.0042667280949,23.48171120054338
2018-09-01,43.02710411239069,21.18622869706757
2018-10-01,99.29671949083928,17.170704566287466
2018-11-01,131.94916009887828,12.615199820232625
2018-12-01,41.075499742838545,9.7937628124589
2019-01-01,88.25895150970508,6.116028139333356
2019-02-01,47.87118611518905,7.808336871287556
2019-03-01,22.69943527205988,10.780948318251697
2019-04-01,99.36186517457172,12.099441159937605
2019-05-01,79.48635981073022,14.25427718879643
2019-06-01,0.19743927011663942,23.68405416322987
2019-07-01,14.719958257511971,25.49445411943865
2019-08-01,23.480374219096102,25.843708523193314
2019-09-01,17.097807177556835,22.09483560198023
2019-10-01,49.721787126733524,18.213643288685475
2019-11-01,254.41967461082413,11.910555278752549
2019-12-01,141.23011269089145,11.03477487835754
2020-01-01,20.547781132852005,8.876934537313632
2020-02-01,3.029072650749891,10.034467845000728
2020-03-01,64.42250833806955,10.414028664885885
2020-04-01,58.01361309158575,14.301571045799411
2020-05-01,45.326380518051906,18.508693650695292
2020-06-01,27.756817048412397,20.656116310918613
2020-07-01,3.3210826300460647,25.1608134893853
2020-08-01,20.702611907404364,25.70688311472625
2020-09-01,79.67384765420337,20.654763981881167
2020-10-01,61.821210744098124,15.170226985004831
2020-11-01,33.38068261760459,13.002660696142271
2020-12-01,179.04108315458976,9.344801721883082
2021-01-01,173.37664321806517,8.315440750934911
2021-02-01,99.08832518229913,10.21919796798393
2021-03-01,45.83618876137881,10.258057662904957
2021-04-01,61.155560135522904,12.598392190984232
2021-05-01,30.417852624927907,16.664511255527476
2021-06-01,10.692151059184694,23.619203282903918
2021-07-01,5.249515595124067,25.474126945401736
2021-08-01,2.530986340599852,25.396225072748436
2021-09-01,33.09604874447066,22.730152061672033
2021-10-01,56.80542484955549,16.642873257868104
2021-11-01,169.0489243558092,12.115590372259572
2021-12-01,97.88267593138973,8.774036850923826
2022-01-01,24.859957543093476,7.126241870544473
2022-02-01,23.696770738189578,8.690907391564147
2022-03-01,42.498712965554255,9.598856981869949
2022-04-01,70.66330185936455,12.635728749011491
2022-05-01,62.18682121861178,18.786758387135922
2022-06-01,0.9405681479011785,25.46036789343784
2022-07-01,0.20776245550617112,27.191014711156274
2022-08-01,14.984804431374513,26.012527188528342
2022-09-01,53.78501139154368,22.463722616142515
2022-10-01,53.268548292376565,18.56153804632698
2022-11-01,138.93291398523502,13.58846530296165
2022-12-01,117.40696409403385,11.327757145152345
2023-01-01,152.39651224699185,8.18422603501179
2023-02-01,38.39984828238557,7.58006775120155
2023-03-01,28.333387883130534,11.199104374262012
2023-04-01,36.876037383081155,12.996700611337443
2023-05-01,124.13454726858659,16.43070342753987
2023-06-01,53.89697067407069,21.593526196617468
2023-07-01,1.2136145332631922,27.352493781651194
2023-08-01,25.79191687933925,24.80505747676728
2023-09-01,4.6389118202689605,23.274575287438836
2023-10-01,34.269051688227236,20.079899774133274
2023-11-01,107.22396726027947,13.960806966635237
2023-12-01,40.00723489316975,10.225017174959559
